Job Title,Company Name,Experience (In Years),Experience Category,Industry,City,State,Country,Source
GN - Tech Strategy & Advisory - Enterprise Architect- Manager,Accenture,9.5,Lead,Software Development,Hyderabad,Telangana,India,Naukri
GN - Tech Strategy & Advisory - Enterprise Architect- Manager,Accenture,9.5,Lead,Software Development,Gurgaon,Haryana,India,Naukri
S&CGN- Tech Strategy & Advisory- Security- Digital Identity-Consultant,Accenture,12.5,Manager,Marketing,Mumbai,Maharashtra,India,Naukri
S&CGN- Tech Strategy & Advisory- Security- Digital Identity-Consultant,Accenture,12.5,Manager,Marketing,Gurgaon,Haryana,India,Naukri
S&CGN- Tech Strategy & Advisory- Security- Digital Identity-Consultant,Accenture,12.5,Manager,Marketing,Bengaluru,Karnataka,India,Naukri
S&CGN - Tech Strategy & Advisory - Transformation Office - Consultant,Accenture,12.5,Manager,Consulting,Mumbai,Maharashtra,India,Naukri
S&CGN - Tech Strategy & Advisory - Transformation Office - Consultant,Accenture,12.5,Manager,Consulting,Hyderabad,Telangana,India,Naukri
S&CGN - Tech Strategy & Advisory - Transformation Office - Consultant,Accenture,12.5,Manager,Consulting,Gurgaon,Haryana,India,Naukri
Picker / Packer,Randstad India Pvt Ltd,3.0,Junior,Other,,,,Naukri
KYC Remediation Analyst,Deutsche Bank,0.5,Entry,Other,Bengaluru,Karnataka,India,Naukri
Customer Care Executive( Voice) Mumbai & Bangalore,Groww,21.5,Executive,Artificial Intelligence / Machine Learning,mumbai,Maharashtra,India,Naukri
Customer Care Executive (Semi Voice) Mumbai & Bangalore,Finance,21.5,Executive,Artificial Intelligence / Machine Learning,,,,Naukri
"Associate Site Merchandiser, Media Category",Amazon,2.5,Junior,Other,Bengaluru,Karnataka,India,Naukri
Admin Executive R&I,"L""OREAL INDIA PVT LTD",4.5,Mid-Level,Other,Mumbai,Maharashtra,India,Naukri
Walkin-26th Feb-Freshers -23K Salary-International voice-Night shifts,Conduent,0.0,Entry,Other,Bengaluru,Karnataka,India,Naukri
kannada / Tamil / Malayalam voice process,Teleperformance (TP),1.0,Junior,Other,Hyderabad,Telangana,India,Naukri
kannada / Tamil / Malayalam voice process,Teleperformance (TP),1.0,Junior,Other,Bengaluru,Karnataka,India,Naukri
Accounting process (Freshers) in Bangalore,2coms,2.5,Junior,Other,Bengaluru,Karnataka,India,Naukri
Network Operation Associate- Bangalore,2coms,2.5,Junior,Other,Bengaluru,Karnataka,India,Naukri
Genpact Hiring For Source To pay roles - Bangalore,Genpact,2.5,Junior,Other,Bengaluru,Karnataka,India,Naukri
Associate - Reconciliation Specialist,Zeta Inc.,3.5,Mid-Level,Other,Mumbai,Maharashtra,India,Naukri
GN - SONG - Service - CX - Value Architect - Manager,Accenture,4.5,Mid-Level,Software Development,Mumbai,Maharashtra,India,Naukri
Application Developer-Adobe Commerce,IBM,3.0,Junior,Software Development,Navi Mumbai,Maharashtra,India,Naukri
S&C - GN - T&O - Instructional design - Senior Analyst,Accenture,5.5,Mid-Level,Other,Mumbai,Maharashtra,India,Naukri
GN - Industry - Energy Downstream Consultant,Accenture,4.5,Mid-Level,Consulting,Mumbai,Maharashtra,India,Naukri
GN -SONG - MT - Digital Marketing- SEO/CRM - Consultant,Accenture,8.5,Lead,Marketing,Mumbai,Maharashtra,India,Naukri
GN - SONG - MT - CDP - Manager,Accenture,9.0,Lead,Management,Mumbai,Maharashtra,India,Naukri
