job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
TAL0232,Cloud Lead,ScaleneWorks,"Chennai, Tamil Nadu, India",,,Cloud,Senior,1-5 Years,Talent
TAL0233,Cloud Architect,ITC Limited,"Mumbai, Maharashtra, India",,,Cloud,Mid,1-5 Years,Talent
TAL0234,Senior Cloud Engineer / Cloud Architect,Invincible Ocean | InvincibleMeta.AI,"Gurugram, Haryana, India",,,Cloud,Senior,1-5 Years,Talent
TAL0235,Oracle CPQ Cloud - Cloud Manager,myGwork,"BENGALURU, KARNATAKA, India",,,Cloud,Manager,1-5 Years,Talent
TAL0236,Cloud Engineer - Google Cloud Platform,Talent Socio,Jaipur,,,Cloud,Mid,1-5 Years,Talent
TAL0237,Cloud Engineer,Recro,"Kolhapur, IN",,,Cloud,Mid,1-5 Years,Talent
TAL0238,Cloud Engineer,Deltek,"Kalyan-Dombivli, IN",,,Cloud,Mid,1-5 Years,Talent
TAL0239,Cloud Engineer,Accolite,"Bengaluru, Karnataka, India",,,Cloud,Mid,1-5 Years,Talent
TAL0240,Cloud Architect,Impetus Career Consultants,"Mumbai Metropolitan Region, India",,,Cloud,Mid,1-5 Years,Talent
TAL0241,PL / SQL Developer - Core Banking,Oracle,"Bengaluru, Karnataka, India",,,Software Development,Mid,4-6 Years,Talent
TAL0242,Senior Oracle Apps Finance Functional,ORACLE,INDIA,,,Finance,Senior,4-6 Years,Talent
TAL0243,PL / SQL Developer - Core Banking,Oracle,"Bengaluru, Karnataka, India",,,Software Development,Mid,4-6 Years,Talent
TAL0244,PL / SQL Developer-Core Banking,ORACLE,INDIA,,,Software Development,Mid,4-6 Years,Talent
TAL0245,Senior Consultant- Cognos with SQL server,ORACLE,INDIA,,,Consulting,Senior,4-6 Years,Talent
TAL0246,PL / SQL Flexcube Developer,Oracle,India,,,Software Development,Mid,4-6 Years,Talent
TAL0247,PL / SQL Flexcube Developer,Oracle,"Bengaluru, Karnataka, India",,,Software Development,Mid,4-6 Years,Talent
TAL0248,Senior Engineer : Java / J2ee REST SQL Product Development,ORACLE,INDIA,,,Software Development,Senior,4-6 Years,Talent
TAL0249,Software Developer (PL / SQL),ORACLE,INDIA,,,Software Development,Mid,4-6 Years,Talent
TAL0250,"Principal Performance Engineer (DB, Golden Gate, SQL)",Oracle,"BENGALURU, KARNATAKA, India",,,Software Development,Mid,4-6 Years,Talent
TAL0251,Senior Database Developer,ORACLE,INDIA,,,Data Science / Analytics,Senior,4-6 Years,Talent
TAL0252,PL / SQL Flexcube Developer,Oracle,"Bengaluru, Karnataka, India",,,Software Development,Mid,4-6 Years,Talent
TAL0253,PL / SQL Developer - Core Banking,Oracle,India,,,Software Development,Mid,4-6 Years,Talent
TAL0254,Java - PL / SQL Developer,Oracle,India,,,Software Development,Mid,4-6 Years,Talent
TAL0255,Senior Consultant - PL / SQL Core Banking,ORACLE,INDIA,,,Consulting,Senior,4-6 Years,Talent
TAL0256,Application Support Specialist,Oracle,India,,,Other,Mid,4-6 Years,Talent
TAL0257,ODI Developer / Lead,ORACLE,INDIA,,,Software Development,Senior,4-6 Years,Talent
TAL0258,Senior Java J2ee Developer with (MS SQL Angular),ORACLE,INDIA,,,Software Development,Senior,4-6 Years,Talent
TAL0259,"Senior Member of Technical Staff (PL / SQL, CCL)",ORACLE,INDIA,,,Other,Senior,4-6 Years,Talent
TAL0260,UI Automation Testing,ValueLabs,"Hyderabad, Telangana, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0261,Automation Testing Intern,Arcot Group,"Mumbai, MH, IN",,,Quality Assurance / Testing,Intern,1-5 Years,Talent
TAL0262,Python Automation Testing,Talent Worx,"Bengaluru, KA, IN",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0263,Salesforce Automation Testing,Pi Square Technologies,"Bangalore, Karnataka, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0264,ETL Automation Testing,Coforge,"Aligarh, IN",,,Data Science / Analytics,Mid,1-5 Years,Talent
TAL0265,Automation Testing Analyst,ADV Tech Consultancy,"Gurugram, Haryana, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0266,Firmware Automation Testing,Cortex Consulting P Ltd,"Bangalore, Karnataka, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0267,Automation Testing - 6A,TalentOla,"Pune, Maharashtra, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0268,Automation Testing,Tata Consultancy Services,India,,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0269,Playwright Automation Testing,Randstad India,"Bangalore, Karnataka, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0270,API Automation Testing,ObjectWin Technology India Pvt. Ltd,"KA, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0271,Automation Testing,Worldline Global Services,"Pune, Maharashtra, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0272,Selenium Automation Testing,Trigent Software Private Limited,"TS, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0273,Python Automation Testing,ITIData an EXL,"Chennai, Tamil Nadu, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0274,Duckcreek Testing- Automation,LTIMindtree,"Pune, Maharashtra, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0275,Automation Testing Lead,Sopra Steria,"Greater Noida, Uttar Pradesh, India",,,Quality Assurance / Testing,Senior,1-5 Years,Talent
TAL0276,Python Automation Testing,DMAIC Academy & Consultancy,"Chennai, Tamil Nadu, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0277,QA Automation Testing,Redian Software Global,"Gurgaon, Haryana, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0278,Python Automation Testing,Client Of DMAIC Academy and Consultancy,"Chennai, Tamil Nadu, India",,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0279,Mainframe Automation Testing,MINDTEL GLOBAL PRIVATE LIMITED,Noida,,,Artificial Intelligence / Machine Learning,Mid,1-5 Years,Talent
TAL0280,Informatica MDM Developer / Tester,IT,Pune,,,Quality Assurance / Testing,Mid,1-5 Years,Talent
TAL0281,Application Lead - PIM / Informatica,MWIDM Staffing Services,Pune,,,Other,Senior,1-5 Years,Talent
