job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
MON0394,Robotics Engineer,Robotics Technologies,"Gurugram, Hyderabad, Kolkata",,,Software Development,Mid,15 - 20 Years,Monster
MON0395,Robotics Engineer,Robotics Technologies,"Ahmedabad, Bengaluru, Chennai",,,Software Development,Mid,10 - 15 Years,Monster
MON0396,Robotics Engineer,Robotics Technologies,"Ahmedabad, Bengaluru, Chennai",,,Software Development,Mid,8 - 12 Years,Monster
MON0397,Robotics Engineer,Gray Matrix,"Mumbai, India",,,Software Development,Mid,1 - 3 Years,Monster
MON0398,Robotics Engineer,Gray Matrix,"Mumbai, India",,,Software Development,Mid,1 - 3 Years,Monster
MON0399,Solutions Architect - Robotics & Automation,CynLr,"Bengaluru, India",,,Software Development,Mid,Fresher,Monster
MON0400,Robotics Specialist,The Leaders Hive,"Navi Mumbai, Mumbai, India",,,Other,Mid,2 - 4 Years,Monster
MON0401,Robotics Trainer,Paulwin George (Proprietor of Angel And Genie),Gurugram,,,Artificial Intelligence / Machine Learning,Mid,2 - 3 Years,Monster
MON0402,STEM Robotics Teacher,Paulwin George (Proprietor of Angel And Genie),Gurugram,,,Other,Mid,2 - 6 Years,Monster
MON0403,Python with Robotics Framework,Tata Consultancy Services Limited,Mumbai,,,Other,Mid,4 - 8 Years,Monster
MON0404,Robotics Engineer,Robotics Technologies,"Ahmedabad, Bengaluru, Chennai",,,Software Development,Mid,3 - 10 Years,Monster
MON0405,Robotics Engineer,Robotics Technologies,Hyderabad,,,Software Development,Mid,5 - 10 Years,Monster
MON0406,Windchill Developer,Birlasoft Limited,Remote,,,Software Development,Mid,5 - 7 Years,Monster
MON0407,Market Developer,ExxonMobil,"Gurugram, Mumbai",,,Software Development,Mid,5 - 10 Years,Monster
MON0408,Developer NSO BPA || Bharti Airtel,Airtel,Gurugram,,,Artificial Intelligence / Machine Learning,Mid,6 - 11 Years,Monster
MON0409,ERP Analytics-OAC and SQL Developer-Senior,Ernst and young LLP,Noida,,,Data Science / Analytics,Senior,3 - 7 Years,Monster
MON0410,Digital-Staff-Machine Learning Developer,Ernst and young LLP,"Noida, Kolkata",,,Artificial Intelligence / Machine Learning,Mid,1 - 3 Years,Monster
MON0411,Product Developer,Airtel,Gurugram,,,Software Development,Mid,12 - 19 Years,Monster
MON0412,Analytics - Senior - Python Full Stack Developer,Ernst and young LLP,Gurugram,,,Data Science / Analytics,Senior,3 - 8 Years,Monster
MON0413,Developer - L2,Wipro Limited,Noida,,,Software Development,Mid,Fresher,Monster
MON0414,Salesforce Developer,Tata Consultancy Services Limited,Delhi NCR,,,Software Development,Mid,2 - 7 Years,Monster
