job_id,job_title,company_name,location,city,state,industry,job_position,experience,source
NAK078,GN - SONG - C&S - CLM - Manager,Accenture,Mumbai,,,,,5-10 Yrs,Naukri.com
NAK079,S&C GN - Tech Strategy & Advisory Cloud Architect Consultant,Accenture,Mumbai,,,,,6-11 Yrs,Naukri.com
NAK080,GN - SONG - MT - MarTech - Senior Manager,Accenture,"Mumbai, New Delhi, Chennai",,,,,12-15 Yrs,Naukri.com
NAK081,"Data Associate I (Spanish), ML Data Ops",Amazon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-5 Yrs,Naukri.com
NAK082,Fresher,Unifybrains Infotech,ios traineeTrainingIOSIo,,,,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Naukri.com
NAK083,"Transportation Representative, Transportation Representative",Amazon,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-4 Yrs,Naukri.com
NAK084,Human Resources Coordinator,Radisson Hotel Group,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-3 Yrs,Naukri.com
NAK085,Intern - Industrial Trainee,Inmobi,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,3 months duration,Naukri.com
NAK086,Guest Services Associate - Front Office,Marriott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-4 Yrs,Naukri.com
NAK087,GUEST SERVICE ASSOCIATE - FRONT OFFICE,Marriott,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-4 Yrs,Naukri.com
NAK088,Software Developer 1,Oracle,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-2 Yrs,Naukri.com
NAK089,Application Support Engineer,Oracle,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,0-2 Yrs,Naukri.com
NAK090,PM Retail Banking Fraud - WPB,Capco,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,5-9 Yrs,Naukri.com
NAK091,GN - Strategy - MC - CFO EV Risk and Compliance - RC Consultant,Accenture,Mumbai,,,,,4-7 Yrs,Naukri.com
NAK092,Azure Fullstack Developer with Python,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK093,Lead Account Solution Engineer - Public Sector,Salesforce,Mumbai,,,,,8-13 Yrs,Naukri.com
NAK094,S&C -GN - C&PR- CMT- Manager,Accenture,"Mumbai, Pune, Bengaluru",,,,,8-10 Yrs,Naukri.com
NAK095,Senior Database Engineer,Xoriant,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,15-20 Yrs,Naukri.com
NAK096,Azure .Netcore Engineer,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK097,Senior Technical Account Manager,Red Hat,Mumbai,,,,,8-10 Yrs,Naukri.com
NAK098,S&C GN CFO&EV - ERP Platforms Manager,Accenture,Mumbai,,,,,8-13 Yrs,Naukri.com
NAK099,S&C GN - Tech Strategy & Advisory Cloud Architect Consultant,Accenture,Mumbai,,,,,6-11 Yrs,Naukri.com
NAK100,GN-Industrial-SAP Platforms-Consultant,Accenture,Mumbai,,,,,6-10 Yrs,Naukri.com
NAK101,KPMG - Background Verification Analyst,KPMG Assurance and Consulting Services LLP,"Pune, Goregaon, Mumbai (All Areas)",,,,,0-1 Yrs,Naukri.com
NAK102,Woman Sales Professional - Fresher- Pan India,Cipla,"Kolkata, Pune, Mumbai (All Areas)",,,,,0-3 Yrs,Naukri.com
NAK103,LLC Coverage Banker India,Deutsche Bank,"Mumbai, Pune, Bengaluru",,,,,12-17 Yrs,Naukri.com
NAK104,Client Manager - inside sales,NoBroker,"Pune, Mumbai (All Areas)",,,,,1-5 Yrs,Naukri.com
NAK105,Technical Sales Manager,Nitshaw Wood Panel And Surface Technologies,Techno Commercial SalesAdhesivesGlueNegotiationIndustrial SalesSales And MarketingTechnical SalesFurniture,,,,,"Pune, Bengaluru, Mumbai (All Areas)",Naukri.com
NAK106,S&C GN - T&O - Instructional Design - Consultant,Accenture,"Mumbai, Pune, Gurugram",,,,,6-8 Yrs,Naukri.com
NAK107,Partner Account Manager (SI),Jio,"Mumbai, New Delhi, Pune",,,,,5-8 Yrs,Naukri.com
NAK108,.NET Software Developer- Pune,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",,,,,3-8 Yrs,Naukri.com
NAK109,Java Developer,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,6-9 Yrs,Naukri.com
NAK110,Sharepoint Consultant,Hexaware Technologies,"Hybrid - Pune, Chennai, Mumbai (All Areas)",,,,,4-9 Yrs,Naukri.com
NAK111,Aws Devops Engineer,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK112,Azure Devops Engineer,Capgemini,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK113,Fusion HCM Technical Senior Consultant/Principal Consultant,Oracle,"Noida, Pune, Mumbai (All Areas)",,,,,4-9 Yrs,Naukri.com
NAK114,GN-Industry Strategy-Banking-Analyst,Accenture,"Pune, Gurugram, Bengaluru",,,,,4-9 Yrs,Naukri.com
NAK115,Tech Strategy & Advisory - Data Architect - Consultant,Accenture,"Mumbai, Pune, Bengaluru",,,,,5-9 Yrs,Naukri.com
NAK116,Senior Net Developer,Xoriant,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",,,,,8-13 Yrs,Naukri.com
NAK117,S&C Global Network - Strategy -MC- Digital Engineering R&D- Consultant,Accenture,"Pune, Gurugram, Bengaluru",,,,,12-16 Yrs,Naukri.com
NAK118,.Net Developer,Infogain,"Hybrid - Noida, Pune, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK119,S&C Global Network - Strategy - MC - Capital Projects - Manager,Accenture,"Pune, Gurugram, Bengaluru",,,,,10-16 Yrs,Naukri.com
NAK120,S&C GN - Strategy - MC - Industry X - Smart Connected Products-Manager,Accenture,"Pune, Gurugram, Bengaluru",,,,,10-14 Yrs,Naukri.com
NAK121,Geologist,Enviro Green Consultants,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",,,,,0-3 Yrs,Naukri.com
NAK122,"Soft Skills Trainer (Pune, Mumbai, Jaipur, Bangalore) up To 35k ctc",Global Talent Track,"Pune(Dapodi), Jaipur, Bengaluru(JP Nagar)",,,,,1-5 Yrs,Naukri.com
NAK123,"Tech Mahindra Hiring in EV ( Power Electronics)-Pune ,Bangalore",Tech Mahindra,"Pune, Bengaluru",,,,,10-15 Yrs,Naukri.com
NAK124,Tech Mahindra Hiring SDV Architect -Bangalore &Pune,Tech Mahindra,"Pune, Bengaluru",,,,,10-16 Yrs,Naukri.com
NAK125,Content Writer No Of Openings: 4,World E Mart,Content WriterCONTENTWRAITERWritingContent writing,,,,,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Naukri.com
NAK126,Technical Support L2,Leading Financial Consulting services.,Shift: 10:00 AM to 07:00 PM or 09:00 AM to 06:00 PMEducation Qualification: B Tech / BE...,,,,,2.5-5 Lacs PA,Naukri.com
NAK127,"Technology Service Analyst (RTP), AS",Deutsche Bank,"Pune, Bengaluru",,,,,3-5 Yrs,Naukri.com
NAK128,ServiceNow App Engine Developer,Vimerse Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,1-6 Yrs,Naukri.com
NAK129,Java Developer,HCLTech,"Hybrid - Noida, Pune, Chennai",,,,,5-9 Yrs,Naukri.com
NAK130,Webmaster,Hotel Supply Mart,jQueryLinuxMySQLJavascriptDatabase administrationPHPXHTMLHTML,,,,,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Naukri.com
NAK131,Vulnerability Management Analyst,Rockwell Automation,"Pune, Bengaluru",,,,,3-6 Yrs,Naukri.com
NAK132,S&C Global Network - Strategy - MC - Industry X - Intelligent Asset,Accenture,"Pune, Gurugram, Bengaluru",,,,,3-5 Yrs,Naukri.com
NAK133,AREA SALES MANAGER,Deepak Fertilisers and Petrochemicals (DFPCL),"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,8-12 Yrs,Naukri.com
NAK134,SAP MM Consultant,Infosys,"Hybrid - Kolkata, Pune, Chennai",,,,,3-8 Yrs,Naukri.com
NAK135,S&C Global Network - Strategy - MC - Industry X - Capital Projects,Accenture,"Pune, Gurugram, Bengaluru",,,,,10-16 Yrs,Naukri.com
NAK136,.NET Software Developer - Bangalore,Infosys,"Hybrid - Hyderabad, Pune, Bengaluru",,,,,3-6 Yrs,Naukri.com
NAK137,ServiceNow Scrum Master,Vimerse Infotech,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",,,,,5-9 Yrs,Naukri.com
NAK138,Devops Engineer - Bangalore / Hyderabad / Kolkata / Pune,Genpact,"Hyderabad, Pune, Bengaluru",,,,,5-10 Yrs,Naukri.com
NAK139,Mobile Developer (React Native),PwC Service Delivery Center,"Pune, Chennai, Bengaluru",,,,,5-9 Yrs,Naukri.com
NAK140,Java Fullstack Developer|F2F|Bangalore/Chennai/Hyderabad/Pune| 1st Mar,Wipro,"Hybrid - Pune, Chennai, Bengaluru",,,,,7-12 Yrs,Naukri.com
NAK141,Business Transformation Consultant-Warehouse & Logistics,IBM,Pune,,,,,8-10 Yrs,Naukri.com
NAK142,GN - SONG - Service - Genesys - Analyst,Accenture,Pune,,,,,2-6 Yrs,Naukri.com
NAK143,Site Reliability Engineer - OpenShift,Red Hat,Pune,,,,,2-7 Yrs,Naukri.com
NAK144,Rpa UiPath Developer (Except Bangalore Location),Capgemini,"Hybrid - Pune, Chennai, Delhi / NCR",,,,,4-9 Yrs,Naukri.com
NAK145,Application Developer,Accenture,Pune,,,,,3-8 Yrs,Naukri.com
NAK146,GN - Strategy - MC - SC&O - SC Digital Core IBP - Analyst,Accenture,Pune,,,,,4-8 Yrs,Naukri.com
NAK147,GN - Strategy - MC - SC&O SC Digital Core Oracle- Analyst,Accenture,Pune,,,,,4-8 Yrs,Naukri.com
NAK148,IN- Senior Associates_SAP ABAP_Enterprise Apps SAP_Advisory_Pune,PwC Service Delivery Center,Pune,,,,,4-8 Yrs,Naukri.com
NAK149,GN - Strategy - MC - SC&O - SC Digital Core S4 japan- consultant,Accenture,Pune,,,,,4-8 Yrs,Naukri.com
NAK150,GN - Strategy - MC - SC&O - SC Digital Core Oracle Consultant,Accenture,Pune,,,,,4-8 Yrs,Naukri.com
NAK151,MC - Industry X - Digital Engineering R&D - Consultantm,Accenture,Pune,,,,,4-8 Yrs,Naukri.com
NAK152,CN - Strategy - MC - SC&O - BPM PM Consultant,Accenture,Pune,,,,,7-10 Yrs,Naukri.com
NAK153,GN - Strategy - MC - SC&O SC Digital Core Oracle consultant,Accenture,Pune,,,,,5-10 Yrs,Naukri.com
NAK154,GN - SONG - Service - Nice CX One - Consultant,Accenture,Pune,,,,,5-10 Yrs,Naukri.com
NAK155,SC&O - S&P - Business Solutions Integration - Associate Manager,Accenture,Pune,,,,,5-10 Yrs,Naukri.com
NAK156,MC - Industry X - Digital Engineering R&D - Manager,Accenture,Pune,,,,,5-8 Yrs,Naukri.com
NAK157,GN-CG&S- Intelligent Functions Manager,Accenture,Pune,,,,,6-10 Yrs,Naukri.com
NAK158,S&C Global Network - AI - CMT - ML Architecture - Specialist,Accenture,Pune,,,,,8-13 Yrs,Naukri.com
NAK159,S&C Global Network - Strategy - MC - Industry X - Intelligent Asset,Accenture,Pune,,,,,12-15 Yrs,Naukri.com
NAK160,GN - Strategy - MC - CFO EV ERP Platforms -Manager,Accenture,Pune,,,,,10-15 Yrs,Naukri.com
NAK161,GN - Tech Strategy and Advisory - TS&A -Resilient Modern Architecture,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,0-4 Yrs,Naukri.com
NAK162,Key Accounts Manager - Customer Success,Yatra.com,"Gurugram, Bengaluru, Mumbai (All Areas)",,,,,5-8 Yrs,Naukri.com
NAK163,Experienced Associate- Deals- M&A Tech,PwC Service Delivery Center,"Mumbai, Bengaluru",,,,,1-4 Yrs,Naukri.com
NAK164,It Recruiter,KPMG Assurance and Consulting Services LLP,"Hybrid - Gurugram, Bengaluru, Mumbai (All Areas)",,,,,2-6 Yrs,Naukri.com
NAK165,Non It Recruiter,KPMG Assurance and Consulting Services LLP,"Hybrid - Kolkata, Bengaluru, Mumbai (All Areas)",,,,,2-6 Yrs,Naukri.com
NAK166,GN-Industrial- Railway Management - Consultant,Accenture,"Mumbai, Hyderabad, New Delhi",,,,,1-6 Yrs,Naukri.com
NAK167,Sales Manager | Banca Channel ROCE,Kotak Life Insurance,"Hyderabad, Bengaluru, Mumbai (All Areas)",,,,,1-6 Yrs,Naukri.com
NAK168,GN - SONG - MT - Marketing Automation B2C (Braze) - Consultant,Accenture,"Mumbai, Hyderabad, Bengaluru",,,,,5-7 Yrs,Naukri.com
NAK169,GN - SONG - Service - CX - Speech Analytics - Manager,Accenture,"Mumbai, New Delhi, Gurugram",,,,,8-12 Yrs,Naukri.com
NAK170,Associate - MS Dynamics ERP F&O Technical,PwC Service Delivery Center,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",,,,,3-5 Yrs,Naukri.com
NAK171,"Senior Software Development Engineer, Aurora PostgreSQL",Amazon,Pune,,,,,3-10 Yrs,Naukri.com
NAK172,Senior Manager - Deals - M&A Tech (Delivering Deal Value),PwC Service Delivery Center,"Mumbai, Bengaluru",,,,,10-14 Yrs,Naukri.com
NAK173,Contract To HIRE - Mainframe RACF support engineer (Night Shift),Top MNC client,"Technical understanding of Mainframe applications and tools (TSO, IPSF, datasets, resou...",,,,,12-22 Lacs PA,Naukri.com
NAK174,GN - SONG - MT - Marketing Automation B2C (Braze) - Manager,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,8-12 Yrs,Naukri.com
NAK175,GN-High Tech-09,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,5-9 Yrs,Naukri.com
NAK176,Senior Associate - MS Dynamics ERP F&O Technical,PwC Service Delivery Center,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",,,,,5-10 Yrs,Naukri.com
NAK177,GN-Industrial- SAP Platforms - Analyst,Accenture,"Mumbai, Hyderabad, Delhi / NCR",,,,,7-12 Yrs,Naukri.com
NAK178,GN - Tech Strategy & Advisory - Enterprise Architect- Manager,Accenture,"Mumbai, Hyderabad, Gurugram",,,,,8-11 Yrs,Naukri.com
NAK179,S&CGN- Tech Strategy & Advisory- Security- Digital Identity-Consultant,Accenture,"Mumbai, Gurugram, Bengaluru",,,,,10-15 Yrs,Naukri.com
NAK180,S&CGN - Tech Strategy & Advisory - Transformation Office - Consultant,Accenture,"Mumbai, Hyderabad, Gurugram",,,,,10-15 Yrs,Naukri.com
NAK181,Picker / Packer,Randstad India Pvt Ltd,Shift timings - 6am to 2pm / 2pm to 10pm / 10pm to 7am + Food is free + OT . Sunday Wee...,,,,,"50,000-2.5 Lacs PA",Naukri.com
NAK182,KYC Remediation Analyst,Deutsche Bank,Bengaluru,,,,,0-1 Yrs,Naukri.com
NAK183,Customer Care Executive( Voice) Mumbai & Bangalore,Groww,Location: Mumbai & Bangalore . 6 days working + 1 rotational off (day shift) . Age Limi...,,,,,2.75-3 Lacs PA,Naukri.com
NAK184,Customer Care Executive (Semi Voice) Mumbai & Bangalore,Finance,"Fluent in Hindi and English; BA, BCOM, BBA, BMS, BCA, or BSC graduates; age limit 25 ye...",,,,,2.75-3 Lacs PA,Naukri.com
NAK185,"Associate Site Merchandiser, Media Category",Amazon,Bengaluru,,,,,0-5 Yrs,Naukri.com
NAK186,Admin Executive R&I,"L""OREAL INDIA PVT LTD",Mumbai,,,,,4-5 Yrs,Naukri.com
NAK187,Walkin-26th Feb-Freshers -23K Salary-International voice-Night shifts,Conduent,Bengaluru,,,,,26-Feb,Naukri.com
