job_id,job_title,company_name,location,source
TAL0126,Backend Developer,TLC Worldwide,"Bengaluru, Karnataka, IN",Talent
TAL0127,Azure Developer,CohnReznick,"Mumbai, IN",Talent
TAL0128,.Net Developer - Azure Cloud,XHire.One,Mumbai,Talent
TAL0129,Senior Full Stack Java Developer with Azure,Datum Technologies Group,"Mumbai, Maharashtra, India",Talent
TAL0130,.NET Full Stack (.NET Core and React with Azure),Antal International,"Mumbai, IN",Talent
TAL0131,Azure Developer,MSRcosmos LLC,"Mumbai, Maharashtra, India",Talent
TAL0132,Freelancer - Azure Cloud Developer,Norconsulting Global Recruitment,"Mumbai, IN",Talent
TAL0133,Microsoft Developer,TotalEnergies,"Mumbai, Maharashtra, India",Talent
TAL0134,Azure Cloud Developer - Full remote - contractor in USD,All European Careers,"Mumbai, IN",Talent
TAL0135,Dot NET Azure L2 / L3 Support-( Hybrid-Bangalore),DigiHelic Solutions Pvt. Ltd.,"Mumbai, IN",Talent
TAL0136,Azure Cloud Developer - Data Factory,Talpro,Mumbai,Talent
TAL0137,TCS Hiring for Elasticsearch Developer,Tata Consultancy Services,"Mumbai, Maharashtra, India",Talent
TAL0138,.Net 6 Developer with Azure,Oracle,"MUMBAI, MAHARASHTRA, India",Talent
TAL0139,Senior Dotnet Developer,IT Global,"Mumbai, IN",Talent
TAL0140,.NET and Azure API Developer,Luxoft,"Mumbai, IN",Talent
TAL0141,".NET Developer (Angular / React, Azure)",Funic Tech,"Mumbai, IN",Talent
TAL0142,Azure Application developer,Anicalls (Pty) Ltd,"Mumbai, India",Talent
TAL0143,Azure Backend Developer,Zones,"Bombay, India",Talent
TAL0144,Django Developer with AWS / Azure Cloud Deployment Experience,Daixta,"Mumbai, IN",Talent
TAL0145,Azure Admin,ScaleneWorks,"Mumbai, Maharashtra, India",Talent
TAL0146,Python Developer,GREATBELL HR Consultancy Services PVT LTD,"Ernakulam, Kerala, India",Talent
TAL0147,Python Developer,Recro,"Coimbatore, IN",Talent
TAL0148,Python Developer,"Astir IT Solutions, Inc.","Pune, Maharashtra, India",Talent
TAL0149,Python Developer,Grey Chain,"Gurugram, Haryana, India",Talent
